file	product	N_diffs	S_diffs	N_diffs_vs_ref	S_diffs_vs_ref	N_sites	S_sites	piN	piS	mean_dN_vs_ref	mean_dS_vs_ref	mean_gdiv_polymorphic	mean_N_gdiv	mean_S_gdiv
vcfs_1.25.21/Cat_1_R.vcf	E	0	0	0	0	164.1666667	60.83333333	0	0	0	0	*	*	*
vcfs_1.25.21/Cat_1_R.vcf	M	0	0	0	0	502.3333333	163.6666667	0	0	0	0	*	*	*
vcfs_1.25.21/Cat_1_R.vcf	N	0	0.450741499	0	0.342996	959.1666667	297.8333333	0	0.001513402	0	0.001151637	0.450699488	*	0.450699488
vcfs_1.25.21/Cat_1_R.vcf	S	0.026558317	0	0.986543	0	2926.008971	892.9910287	9.08E-06	0	0.000337163	0	0.026551818	0.026551818	*
vcfs_1.25.21/Cat_1_R.vcf	orf10	0	0	0	0	87.66666667	26.33333333	0	0	0	0	*	*	*
vcfs_1.25.21/Cat_1_R.vcf	orf1ab	0	0	0	0	16372.33333	4915.666667	0	0	0	0	*	*	*
vcfs_1.25.21/Cat_1_R.vcf	orf3a	0	0	0	0	628.3333333	196.6666667	0	0	0	0	*	*	*
vcfs_1.25.21/Cat_1_R.vcf	orf6	0	0	0	0	146	37	0	0	0	0	*	*	*
vcfs_1.25.21/Cat_1_R.vcf	orf7a	0	0	0	0	274.3333333	88.66666667	0	0	0	0	*	*	*
vcfs_1.25.21/Cat_1_R.vcf	orf8	0	0	0	0	280.1666667	82.83333333	0	0	0	0	*	*	*
