file	product	N_diffs	S_diffs	N_diffs_vs_ref	S_diffs_vs_ref	N_sites	S_sites	piN	piS	mean_dN_vs_ref	mean_dS_vs_ref	mean_gdiv_polymorphic	mean_N_gdiv	mean_S_gdiv
vcfs_1.25.21/Passage_3_R.vcf	E	0	0	0	0	164.166666666667	60.8333333333334	0	0	0	0	*	*	*
vcfs_1.25.21/Passage_3_R.vcf	M	0.0778126308706736	0	0.959477	0	502.653159	163.346841	0.00015480382342663	0	0.0019088251666593	0	0.0777617729419999	0.0777617729419999	*
vcfs_1.25.21/Passage_3_R.vcf	N	0.0602663999691821	0	0.968902	0	959.166666666664	297.833333333333	6.28320416707373e-05	0	0.00101014978279757	0	0.0602618287919998	0.0602618287919998	*
vcfs_1.25.21/Passage_3_R.vcf	S	0.193778186345036	0	1.897545	0	2927.29045266666	891.709547333337	6.61971162337209e-05	0	0.00064822573321052	0	0.096863607003	0.096863607003	*
vcfs_1.25.21/Passage_3_R.vcf	orf10	0	0	0	0	87.6666666666667	26.3333333333333	0	0	0	0	*	*	*
vcfs_1.25.21/Passage_3_R.vcf	orf1ab	0.257043961069605	0.27113175661728	1.019316	0.149518	16372.3854166662	4915.61458333332	1.56998479163548e-05	5.51572447393594e-05	6.22582460685535e-05	3.0416949389594e-05	0.131415047345	0.127371985894	0.135458108796
vcfs_1.25.21/Passage_3_R.vcf	orf3a	0	0	0	0	628.333333333333	196.666666666667	0	0	0	0	*	*	*
vcfs_1.25.21/Passage_3_R.vcf	orf6	0	0	0	0	146	37	0	0	0	0	*	*	*
vcfs_1.25.21/Passage_3_R.vcf	orf7a	0	0	0	0	274.333333333333	88.6666666666667	0	0	0	0	*	*	*
vcfs_1.25.21/Passage_3_R.vcf	orf8	0	0	0	0	280.166666666667	82.8333333333333	0	0	0	0	*	*	*
