file	product	N_diffs	S_diffs	N_diffs_vs_ref	S_diffs_vs_ref	N_sites	S_sites	piN	piS	mean_dN_vs_ref	mean_dS_vs_ref	mean_gdiv_polymorphic	mean_N_gdiv	mean_S_gdiv
vcfs_1.25.21/Ferret_1_R.vcf	E	0	0	0	0	164.166666666667	60.8333333333334	0	0	0	0	*	*	*
vcfs_1.25.21/Ferret_1_R.vcf	M	0.195068822554483	0	1.060556	0	502.673369	163.326631	0.000388062775122832	0	0.00210983128489546	0	0.0648994590066667	0.0648994590066667	*
vcfs_1.25.21/Ferret_1_R.vcf	N	0.0495131558686901	0	0.974601	0	959.166666666664	297.833333333333	5.16210139378178e-05	0	0.00101609139878367	0	0.0495077815979998	0.0495077815979998	*
vcfs_1.25.21/Ferret_1_R.vcf	S	0.517537634139259	0.0950347532925	2.773566	0.049645	2926.75219933333	892.24780066667	0.000176830014600193	0.000106511613950174	0.000947660003683189	5.56403725096394e-05	0.1223278024948	0.129319566131	0.0943607479499999
vcfs_1.25.21/Ferret_1_R.vcf	orf10	0	0	0	0	87.6666666666667	26.3333333333333	0	0	0	0	*	*	*
vcfs_1.25.21/Ferret_1_R.vcf	orf1ab	0.577320522429979	0.413160973312188	1.198707	0.259984	16372.3798246662	4915.62017533332	3.52618573849725e-05	8.40506301494647e-05	7.32151961313566e-05	5.28893589672784e-05	0.12374399096575	0.0961537162636667	0.206514815072
vcfs_1.25.21/Ferret_1_R.vcf	orf3a	0	0	0	0	628.333333333333	196.666666666667	0	0	0	0	*	*	*
vcfs_1.25.21/Ferret_1_R.vcf	orf6	0.115124860048166	0	0.061292	0	146.020430666667	36.9795693333333	0.000788416110831582	0	0.000419749481084031	0	0.115070581472	0.115070581472	*
vcfs_1.25.21/Ferret_1_R.vcf	orf7a	0	0	0	0	274.333333333333	88.6666666666667	0	0	0	0	*	*	*
vcfs_1.25.21/Ferret_1_R.vcf	orf8	0	0	0	0	280.166666666667	82.8333333333333	0	0	0	0	*	*	*
