file	product	N_diffs	S_diffs	N_diffs_vs_ref	S_diffs_vs_ref	N_sites	S_sites	piN	piS	mean_dN_vs_ref	mean_dS_vs_ref	mean_gdiv_polymorphic	mean_N_gdiv	mean_S_gdiv
vcfs_1.25.21/Cat_3_R.vcf	E	0	0	0	0	164.166666666667	60.8333333333334	0	0	0	0	*	*	*
vcfs_1.25.21/Cat_3_R.vcf	M	0.497409001508008	0	0.539114	0	502.513038	163.486962	0.000989842976985618	0	0.00107283584550497	0	0.496940190008	0.496940190008	*
vcfs_1.25.21/Cat_3_R.vcf	N	0.48706794584183	0.110821033259313	0.580586	0.058869	959.166666666664	297.833333333333	0.000507803245013204	0.000372090766399483	0.000605302519548221	0.000197657526580862	0.298909337443	0.487011793208	0.110806881678
vcfs_1.25.21/Cat_3_R.vcf	S	1.79200087126215	0	1.155945	0	2926.25706799999	892.742932000004	0.0006123866870271	0	0.000395025103105536	0	0.22389948963925	0.22389948963925	*
vcfs_1.25.21/Cat_3_R.vcf	orf10	0	0	0	0	87.6666666666667	26.3333333333333	0	0	0	0	*	*	*
vcfs_1.25.21/Cat_3_R.vcf	orf1ab	1.63481264253478	0.465693102631811	1.31045964535352	0.268008892092124	16372.8293503328	4915.17064966665	9.98491224426981e-05	9.47460700399882e-05	8.00386797732598e-05	5.45268742826459e-05	0.139828648452267	0.135999205601667	0.155146419854667
vcfs_1.25.21/Cat_3_R.vcf	orf3a	0	0	0	0	628.333333333333	196.666666666667	0	0	0	0	*	*	*
vcfs_1.25.21/Cat_3_R.vcf	orf6	0.0599682591939703	0	0.030902	0	145.989699333333	37.0103006666667	0.000410770482217699	0	0.000211672468270809	0	0.059894132792	0.059894132792	*
vcfs_1.25.21/Cat_3_R.vcf	orf7a	0	0	0	0	274.333333333333	88.6666666666667	0	0	0	0	*	*	*
vcfs_1.25.21/Cat_3_R.vcf	orf8	0.134601831325877	0	0.072551	0	280.094115666667	82.9058843333333	0.000480559297025945	0	0.000259023649344855	0	0.134574704798	0.134574704798	*
